social,rif,0.875,0.125
bbm,nursultan,1.0,0.0
stop,australia,0.7777777777777778,0.18181818181818182
bts,afghanistan,0.7777777777777778,0.16666666666666666
love,var,0.8333333333333334,0.16666666666666666
tweet,kleinerbriefkasten,0.8333333333333334,0.09523809523809523
exo,transcriptionfactorsinlightandcircadianclocksignalingnetworksrevealedbygenomewidemappingofdirecttargetsforneurosporawhitecollarcomplex,0.8695652173913043,0.022388059701492536
mtv,basshunter,0.9090909090909091,0.08333333333333333
game,belgium,0.625,0.375
thrones,brazil,0.9166666666666666,0.08333333333333333
army,chile,1.0,0.0
day,denmark,0.75,0.25
music,austria,0.625,0.3333333333333333
got,colombia,0.8888888888888888,0.1
chen,bolivia,1.0,0.0
play,costarica,0.9,0.08333333333333333
zubair,dominicanrepublic,0.6428571428571428,0.2777777777777778
fandom,ecuador,0.7,0.3
maga,dutchesperantoyouth,0.9333333333333333,0.045454545454545456
cool,portraitofaman,0.9090909090909091,0.058823529411764705
follow,algeria,0.8888888888888888,0.08333333333333333
black,ukraine,0.8,0.2
fashion,cameroon,0.7272727272727273,0.25
boy,schoolstraat,0.9,0.07142857142857142
real,switzerland,0.6363636363636364,0.36363636363636365
media,selfportrait,0.75,0.21428571428571427
art,reconstructionandvalidationofagenomescalemetabolicmodelforthefilamentousfungusneurosporacrassausingfarm,0.8421052631578947,0.02912621359223301
luv,nipseyhussle,0.8,0.15384615384615385
uk,democraticrepublicofthecongo,0.9444444444444444,0.034482758620689655
team,peoplesrepublicofchina,0.875,0.08333333333333333
new,republicofthecongo,0.8666666666666667,0.10526315789473684
estate,burundi,1.0,0.0
ho,bahamas,0.8333333333333334,0.125
ur,bangladesh,1.0,0.0
la,belize,0.8333333333333334,0.14285714285714285
pak,botswana,0.8888888888888888,0.1
ebay,quebec,0.7142857142857143,0.25
biz,malta,1.0,0.0
best,birsamundaairport,0.7692307692307692,0.16666666666666666
dame,analysisofaconservedcellulasetranscriptionalregulatorrevealsinducerindependentproductionofcellulolyticenzymesinneurosporacrassa,0.7894736842105263,0.031496062992125984
notre,naruhito,0.5555555555555556,0.4444444444444444
lingerie,kerkstraat,0.8,0.125
twitter,aivaraskvedarauskas,0.7272727272727273,0.13043478260869565
bra,robridder,0.7142857142857143,0.2
swimsuit,israel,0.8,0.16666666666666666
knickers,molenstraat,0.6666666666666667,0.26666666666666666
pink,jokevanbeusekom,0.8461538461538461,0.11764705882352941
life,mexico,0.75,0.25
us,chicago,1.0,0.0
paris,anniewkoch,0.8333333333333334,0.15384615384615385
br,marjanridder,0.8888888888888888,0.07692307692307693
su,norway,1.0,0.0
etsy,madhumitabisht,0.8181818181818181,0.125
